x-axis,WaveGen-ARB
second,Volt
711.00E-009,0.0650E+00
712.00E-009,0.0051E+00
713.00E-009,-0.0550E+00
714.00E-009,-0.1165E+00
715.00E-009,-0.1751E+00
716.00E-009,-0.1172E+00
717.00E-009,-0.1782E+00
718.00E-009,0.0043E+00
719.00E-009,0.0043E+00
720.00E-009,-0.0561E+00
721.00E-009,0.0017E+00
722.00E-009,0.0026E+00
723.00E-009,0.0628E+00
724.00E-009,0.1242E+00
725.00E-009,0.1829E+00
726.00E-009,0.1829E+00
727.00E-009,0.2439E+00
728.00E-009,0.2439E+00
729.00E-009,0.1822E+00
730.00E-009,0.2426E+00
731.00E-009,0.3034E+00
732.00E-009,0.3035E+00
733.00E-009,0.1815E+00
734.00E-009,0.1815E+00
735.00E-009,0.1815E+00
736.00E-009,0.1224E+00
737.00E-009,0.1224E+00
738.00E-009,0.1224E+00
739.00E-009,0.1841E+00
740.00E-009,0.1259E+00
741.00E-009,0.0648E+00
742.00E-009,0.1237E+00
743.00E-009,0.2457E+00
744.00E-009,0.1263E+00
745.00E-009,0.1263E+00
746.00E-009,0.1854E+00
747.00E-009,0.1854E+00
748.00E-009,0.1854E+00
749.00E-009,0.1247E+00
750.00E-009,0.1828E+00
751.00E-009,0.1830E+00
752.00E-009,0.1830E+00
753.00E-009,0.1237E+00
754.00E-009,0.2431E+00
755.00E-009,0.2431E+00
756.00E-009,0.1247E+00
757.00E-009,0.1247E+00
758.00E-009,0.0644E+00
759.00E-009,0.0639E+00
760.00E-009,0.0639E+00
761.00E-009,0.1249E+00
762.00E-009,0.0675E+00
763.00E-009,0.1268E+00
764.00E-009,0.0657E+00
765.00E-009,0.0074E+00
766.00E-009,0.1257E+00
767.00E-009,0.0074E+00
768.00E-009,0.0677E+00
769.00E-009,0.0719E+00
770.00E-009,0.0719E+00
771.00E-009,0.0719E+00
772.00E-009,0.0070E+00
773.00E-009,0.0070E+00
774.00E-009,0.0681E+00
775.00E-009,0.0645E+00
776.00E-009,0.0645E+00
777.00E-009,0.1828E+00
778.00E-009,0.1251E+00
779.00E-009,0.1821E+00
780.00E-009,0.0596E+00
781.00E-009,0.0596E+00
782.00E-009,0.1819E+00
783.00E-009,0.1240E+00
784.00E-009,0.0635E+00
785.00E-009,0.1253E+00
786.00E-009,0.0668E+00
787.00E-009,0.0054E+00
788.00E-009,0.0632E+00
789.00E-009,0.0632E+00
790.00E-009,0.1858E+00
791.00E-009,0.1245E+00
792.00E-009,0.0061E+00
793.00E-009,0.0640E+00
794.00E-009,0.1245E+00
795.00E-009,0.1245E+00
796.00E-009,0.1831E+00
797.00E-009,0.1836E+00
798.00E-009,0.0609E+00
799.00E-009,-0.0545E+00
800.00E-009,-0.0545E+00
801.00E-009,0.0067E+00
802.00E-009,0.1251E+00
803.00E-009,0.0644E+00
804.00E-009,0.0644E+00
805.00E-009,0.0644E+00
806.00E-009,-0.0587E+00
807.00E-009,0.0021E+00
808.00E-009,0.0640E+00
809.00E-009,-0.0002E+00
810.00E-009,-0.0002E+00
811.00E-009,-0.1237E+00
812.00E-009,-0.1237E+00
813.00E-009,-0.1848E+00
814.00E-009,-0.1848E+00
815.00E-009,-0.2426E+00
816.00E-009,-0.1195E+00
817.00E-009,-0.1195E+00
818.00E-009,-0.0587E+00
819.00E-009,0.0592E+00
820.00E-009,0.0592E+00
821.00E-009,0.1220E+00
822.00E-009,0.0626E+00
823.00E-009,0.1844E+00
824.00E-009,-0.0004E+00
825.00E-009,-0.0047E+00
826.00E-009,-0.0640E+00
827.00E-009,-0.2458E+00
828.00E-009,-0.3624E+00
829.00E-009,-0.4772E+00
830.00E-009,-0.4772E+00
831.00E-009,-0.4166E+00
832.00E-009,-0.3572E+00
833.00E-009,-0.3572E+00
834.00E-009,-0.2346E+00
835.00E-009,-0.1725E+00
836.00E-009,-0.2305E+00
837.00E-009,-0.2359E+00
838.00E-009,-0.1194E+00
839.00E-009,0.0574E+00
840.00E-009,0.0574E+00
841.00E-009,-0.0015E+00
842.00E-009,-0.0015E+00
843.00E-009,-0.0015E+00
844.00E-009,0.0608E+00
845.00E-009,0.0608E+00
846.00E-009,0.1780E+00
847.00E-009,0.3652E+00
848.00E-009,0.3063E+00
849.00E-009,0.3063E+00
850.00E-009,0.1906E+00
851.00E-009,0.1914E+00
852.00E-009,0.1914E+00
853.00E-009,0.1914E+00
854.00E-009,0.1312E+00
855.00E-009,0.0711E+00
856.00E-009,0.0711E+00
857.00E-009,0.0113E+00
858.00E-009,0.0128E+00
859.00E-009,0.0128E+00
860.00E-009,0.0713E+00
861.00E-009,0.1293E+00
862.00E-009,0.0701E+00
863.00E-009,-0.0521E+00
864.00E-009,0.0081E+00
865.00E-009,0.0055E+00
866.00E-009,0.0055E+00
867.00E-009,-0.0531E+00
868.00E-009,-0.1800E+00
869.00E-009,-0.1800E+00
870.00E-009,-0.1228E+00
871.00E-009,-0.1228E+00
872.00E-009,-0.1264E+00
873.00E-009,-0.1841E+00
874.00E-009,-0.1841E+00
875.00E-009,-0.1787E+00
876.00E-009,-0.3582E+00
877.00E-009,-0.3593E+00
878.00E-009,-0.2321E+00
879.00E-009,-0.2938E+00
880.00E-009,-0.4119E+00
881.00E-009,-0.4691E+00
882.00E-009,-0.4063E+00
883.00E-009,-0.2264E+00
884.00E-009,-0.2264E+00
885.00E-009,-0.1692E+00
886.00E-009,-0.0469E+00
887.00E-009,0.0120E+00
888.00E-009,0.0089E+00
889.00E-009,0.0706E+00
890.00E-009,0.1887E+00
891.00E-009,0.2460E+00
892.00E-009,0.1874E+00
893.00E-009,0.1254E+00
894.00E-009,0.1254E+00
895.00E-009,0.1254E+00
896.00E-009,0.1237E+00
897.00E-009,0.1220E+00
898.00E-009,0.1823E+00
899.00E-009,0.1823E+00
900.00E-009,0.1823E+00
901.00E-009,0.0640E+00
902.00E-009,0.1225E+00
903.00E-009,0.1232E+00
904.00E-009,0.1232E+00
